file,type,n,heuristic,cost,runtime_ms,min_edge_weight,max_edge_weight,mean_edge_weight,std_edge_weight,cv_edge_weight,edge_weight_skewness,pct_short_edges,triangle_violation_rate,avg_violation_magnitude,mst_weight,nn_cost_over_mst,optimal_cost,optimality_gap
st70,EUC_2D,70,Insertion,781.0,56.0,0.019137049803874956,129.0,52.254658385093165,24.38774413964469,0.46670947420454,0.1224828789726147,0.1064182194616977,0.002415,0.019137049803874956,0.1539165577083086,1.4742451154529308,675.0,15.703703703703702
st70,EUC_2D,70,CH,771.0,41.0,0.019137049803874956,129.0,52.254658385093165,24.38774413964469,0.46670947420454,0.1224828789726147,0.1064182194616977,0.002415,0.019137049803874956,0.1539165577083086,1.4742451154529308,675.0,14.22222222222222
ts225,EUC_2D,225,NN,152493.0,46.0,0.0706212155996212,16971.0,7080.0253968253965,3321.756134578394,0.4691729122988502,0.1675186755836722,0.1134126984126984,0.00027,0.0001412424311992424,0.0703073435302895,1.361544642857143,126643.0,20.4117085034309
ts225,EUC_2D,225,Greedy,133460.0,36.0,0.0706212155996212,16971.0,7080.0253968253965,3321.756134578394,0.4691729122988502,0.1675186755836722,0.1134126984126984,0.00027,0.0001412424311992424,0.0703073435302895,1.361544642857143,126643.0,5.382847847887368
ts225,EUC_2D,225,Insertion,160014.0,1856.0,0.0706212155996212,16971.0,7080.0253968253965,3321.756134578394,0.4691729122988502,0.1675186755836722,0.1134126984126984,0.00027,0.0001412424311992424,0.0703073435302895,1.361544642857143,126643.0,26.35044968928405
ts225,EUC_2D,225,CH,133282.0,214.0,0.0706212155996212,16971.0,7080.0253968253965,3321.756134578394,0.4691729122988502,0.1675186755836722,0.1134126984126984,0.00027,0.0001412424311992424,0.0703073435302895,1.361544642857143,126643.0,5.242295270958521
tsp225,EUC_2D,225,NN,5030.0,37.0,0.038131026334186024,519.0,183.57753968253968,95.2090757994304,0.5186313966516563,0.5167427102295108,0.1021428571428571,0.001205,0.005447289476312289,0.0861398042520849,1.4137155705452502,3916.0,28.447395301327887
tsp225,EUC_2D,225,Greedy,4288.0,37.0,0.038131026334186024,519.0,183.57753968253968,95.2090757994304,0.5186313966516563,0.5167427102295108,0.1021428571428571,0.001205,0.005447289476312289,0.0861398042520849,1.4137155705452502,3916.0,9.499489274770172
tsp225,EUC_2D,225,Insertion,4555.0,1835.0,0.038131026334186024,519.0,183.57753968253968,95.2090757994304,0.5186313966516563,0.5167427102295108,0.1021428571428571,0.001205,0.005447289476312289,0.0861398042520849,1.4137155705452502,3916.0,16.31767109295199
tsp225,EUC_2D,225,CH,4382.0,539.0,0.038131026334186024,519.0,183.57753968253968,95.2090757994304,0.5186313966516563,0.5167427102295108,0.1021428571428571,0.001205,0.005447289476312289,0.0861398042520849,1.4137155705452502,3916.0,11.899897854954036
u1060,EUC_2D,1060,NN,308980.0,1114.0,0.011135331202313503,20262.0,6376.101322001889,3627.221702489137,0.5688776760765631,0.4958348391295827,0.1000089083685213,0.000265,0.0001568356507368099,0.0289203460377066,1.580759529936612,224094.0,37.87963979401501
u1060,EUC_2D,1060,Greedy,258947.0,1723.0,0.011135331202313503,20262.0,6376.101322001889,3627.221702489137,0.5688776760765631,0.4958348391295827,0.1000089083685213,0.000265,0.0001568356507368099,0.0289203460377066,1.580759529936612,224094.0,15.552848358278224
u1060,EUC_2D,1060,Insertion,270443.0,234737.0,0.011135331202313503,20262.0,6376.101322001889,3627.221702489137,0.5688776760765631,0.4958348391295827,0.1000089083685213,0.000265,0.0001568356507368099,0.0289203460377066,1.580759529936612,224094.0,20.68283845172116
u1060,EUC_2D,1060,CH,249225.0,62282.0,0.011135331202313503,20262.0,6376.101322001889,3627.221702489137,0.5688776760765631,0.4958348391295827,0.1000089083685213,0.000265,0.0001568356507368099,0.0289203460377066,1.580759529936612,224094.0,11.214490347800476
u1432,EUC_2D,1432,NN,188807.0,1184.0,0.03629056622463662,6868.0,2755.537055580932,1335.5165181209609,0.4846665064496485,0.1479723766606301,0.1000101503421836,0.00033,0.0003629056622463662,0.0369943295095934,1.2934023853072745,152970.0,23.427469438451983
u1432,EUC_2D,1432,Greedy,182229.0,3344.0,0.03629056622463662,6868.0,2755.537055580932,1335.5165181209609,0.4846665064496485,0.1479723766606301,0.1000101503421836,0.00033,0.0003629056622463662,0.0369943295095934,1.2934023853072745,152970.0,19.12727985879584
u1432,EUC_2D,1432,Insertion,171013.0,594972.0,0.03629056622463662,6868.0,2755.537055580932,1335.5165181209609,0.4846665064496485,0.1479723766606301,0.1000101503421836,0.00033,0.0003629056622463662,0.0369943295095934,1.2934023853072745,152970.0,11.795123226776491
u1432,EUC_2D,1432,CH,171899.0,95509.0,0.03629056622463662,6868.0,2755.537055580932,1335.5165181209609,0.4846665064496485,0.1479723766606301,0.1000101503421836,0.00033,0.0003629056622463662,0.0369943295095934,1.2934023853072745,152970.0,12.37432176243708
u159,EUC_2D,159,NN,54675.0,20.0,0.03536541787502969,6684.0,2827.621049279516,1477.4978436704,0.5225232865085899,0.1728153733315615,0.1020619377438102,0.000285,0.0003536541787502969,0.0826549870222627,1.471300557035602,42080.0,29.93108365019011
